team,opponent,seed,seed_opp,season_year,game_round,prediction,won,plus_minus,ast_per_poss,ast_per_poss_opp,fan_favorite,fan_favorite_opp,game_win_rate,game_win_rate_opp,sos,sos_opp,te,te_opp,tov_per_poss,tov_per_poss_opp
Saint Mary's (CA),UCLA,5.0,4.0,2022,SECOND ROUND,1,0,-16.0,0.3832555804271877,0.4097116843702579,1,0,0.7647058823529411,0.7714285714285715,6.58,8.36,1.1499272197962154,1.169769503546099,0.3196585845484403,0.2638678131849603
Arkansas,Kansas,8.0,1.0,2023,SECOND ROUND,0,1,1.0,0.3229075659619081,0.4224772202431034,1,0,0.6111111111111112,0.7777777777777778,9.87,11.84,1.08994276369583,1.1081632653061226,0.3201118294600734,0.3179320098100642
San Diego State,Connecticut,5.0,4.0,2023,CHAMPIONSHIP,1,0,-17.0,0.3700236771102913,0.4818513235061024,1,0,0.8205128205128205,0.7948717948717948,8.92,8.51,1.121212121212121,1.2251099560175929,0.3318466310592295,0.3543438826367975
